source,date,text,compound,positive,negative,neutral,ind
BBC,Wed Sep 05 13:06:03 +0000 2018,"One town. One year. Two generations. Welcome to #TheMightyRedcar...

The Mighty Redcar | Thursday | 9pm | @BBCTwo

https://t.co/jPSPgpKckh",0.4588,0.167,0.0,0.833,0
BBC,Wed Sep 05 12:03:04 +0000 2018,".@Nadia_Sapphire was fat-shamed when she first started wrestling.
✊ She now promotes body positivity and being a to… https://t.co/ECc0CKFClB",0.6908,0.275,0.0,0.725,1
BBC,Wed Sep 05 11:38:45 +0000 2018,"RT @BBCR1: IT'S HAPPENING!!

@ArianaGrande is performing in the Live Lounge RIGHT NOW and kicking things off with the stunning No Tears Lef…",-0.2695,0.095,0.172,0.733,2
BBC,Wed Sep 05 11:00:09 +0000 2018,"Boeing says Asia needs 240,000 pilots over next two decades.
If you need a job, you may want to consider training a… https://t.co/bCwIkgrjAy",0.0772,0.058,0.0,0.942,3
BBC,Wed Sep 05 10:16:29 +0000 2018,The family of Rachael Bland has confirmed that she died this morning. She inspired and touched the lives of many. R… https://t.co/apHlIPa34D,-0.1027,0.119,0.134,0.746,4
BBC,Wed Sep 05 09:02:00 +0000 2018,"Back to school? So are we. 

Learn how #BBCBitesize can help you with your schoolwork and beyond throughout the yea… https://t.co/GWQnSk6YuL",0.4019,0.119,0.0,0.881,5
BBC,Wed Sep 05 08:00:13 +0000 2018,🐢🦋  These butterflies drink turtle tears to get sodium they need to survive. https://t.co/f4bcrj6iD8,-0.2263,0.0,0.128,0.872,6
BBC,Wed Sep 05 07:32:03 +0000 2018,We imagine that other people are having much more sex than we are - and the reasons why are hardwired into our anim… https://t.co/XMih9Z49l2,0.0,0.0,0.0,1.0,7
BBC,Wed Sep 05 07:03:05 +0000 2018,Love fish and chips? You’ll love this! https://t.co/KEtoFsrttj,0.8655,0.592,0.0,0.408,8
BBC,Tue Sep 04 19:31:06 +0000 2018,A 42.8 millisecond flash of the word “death” across a computer screen is enough to make us act differently. So what… https://t.co/RPT6s8A9B5,0.0,0.0,0.0,1.0,9
BBC,Tue Sep 04 19:03:06 +0000 2018,"Is monogamy outdated? Can you love more than one person? After years of respectable marriage, Joy and Alan are goin… https://t.co/iVjrJQjM6P",0.9054,0.385,0.0,0.615,10
BBC,Tue Sep 04 18:32:01 +0000 2018,"🤖 @jimalkhalili explores the AI revolution, arguing we should see it as friend not foe. 

The Joy of AI | 9pm |… https://t.co/q6WOZb4Z17",-0.1195,0.195,0.212,0.593,11
BBC,Tue Sep 04 18:06:10 +0000 2018,"From the creator of Fleabag comes your new fav binge watch.

Killing Eve, coming soon to @BBCThree. https://t.co/s6MW7SkBKi",-0.34,0.128,0.188,0.684,12
BBC,Tue Sep 04 16:06:05 +0000 2018,"One of Britain’s most successful actors, @rizmc, opens up about dual identities, stereotypes and representation. https://t.co/MWKycuZ7e2",0.624,0.214,0.0,0.786,13
BBC,Tue Sep 04 13:07:03 +0000 2018,We all know a 'ghost member' or someone who overshares. Here's how to avoid being 'that person' in a group chat...… https://t.co/6HAxtKKnav,-0.5423,0.0,0.2,0.8,14
BBC,Tue Sep 04 12:51:26 +0000 2018,"RT @bbcpress: Congratulations @_RichardMadden, @MissKeeleyHawes, @Jed_Mercurio - @BBCOne’s #Bodyguard is the biggest new drama on British T…",0.5994,0.206,0.0,0.794,15
BBC,Tue Sep 04 12:36:34 +0000 2018,RT @bbcwritersroom: Mike Bartlett is an award-winning writer with credits including hit drama #DoctorFoster and the stage and screen versio…,0.3612,0.116,0.0,0.884,16
BBC,Tue Sep 04 12:16:24 +0000 2018,"RT @BBCEarth: #NationalWildlifeDay by numbers. 

Find out more 👉 https://t.co/xoviRzi43h https://t.co/VzbUu0NfV6",0.0,0.0,0.0,1.0,17
BBC,Tue Sep 04 12:00:20 +0000 2018,🐘 What's an elephant repellent and why would you need one? https://t.co/TnkBIFFyWK,0.0,0.0,0.0,1.0,18
BBC,Tue Sep 04 11:11:08 +0000 2018,"Vegan or not, you'll love @Nigella_Lawson's lemon tendercake with blueberry compôte. 😋 https://t.co/fjvaE1YZpj https://t.co/TacH7eB1Xj",-0.5216,0.0,0.219,0.781,19
BBC,Tue Sep 04 10:20:54 +0000 2018,RT @bbccomedy: And now a message from Feminists Who Ruin Things Men Used To Like. https://t.co/lmBz2xVij5,-0.3182,0.13,0.197,0.674,20
BBC,Tue Sep 04 08:00:01 +0000 2018,Antisemitism is on the rise in the UK https://t.co/Z90iK1wNct,0.0,0.0,0.0,1.0,21
BBC,Tue Sep 04 07:01:04 +0000 2018,"❤️ Marie is not interpreting a performance, she's performing an interpretation. https://t.co/gt8T9IaCwv",0.0,0.0,0.0,1.0,22
BBC,Mon Sep 03 19:02:03 +0000 2018,"A documentary series following the search for missing people.

Reported Missing | 9pm | @BBCOne |… https://t.co/yXINmDRboH",-0.5267,0.0,0.268,0.732,23
BBC,Mon Sep 03 18:31:04 +0000 2018,"After a bomb attack, a grieving family and a Dublin housewife form an unlikely alliance. 

Mother's Day | 9pm |… https://t.co/fmRERQ6yVg",-0.8625,0.0,0.407,0.593,24
BBC,Mon Sep 03 18:03:03 +0000 2018,"""That's what compulsive gamblers do, they ruin all the beautiful things that a family can have."" 
(via @BBCThree) https://t.co/9kBMddPH6Q",0.0258,0.165,0.16,0.675,25
BBC,Mon Sep 03 16:00:26 +0000 2018,Holy moly! 😲 https://t.co/Rjggxccufl,0.0,0.0,0.0,1.0,26
BBC,Mon Sep 03 13:11:02 +0000 2018,"A man from Belfast suffered a ""deep flesh wound"" after being bitten by a shark off the coast of County Cork. 😨… https://t.co/yJuC9xBJHL",-0.4939,0.0,0.144,0.856,27
BBC,Mon Sep 03 11:57:08 +0000 2018,"These pilots in Scotland are joining the fight against plastic. 👏

https://t.co/MWCABk7ZIH",-0.3818,0.0,0.206,0.794,28
BBC,Mon Sep 03 11:01:04 +0000 2018,"🤢 From eating to clipping nails, these are your tales of bad travel etiquette.
👉 https://t.co/mI0yhl6ws4 https://t.co/oHiNQWKT3I",-0.5423,0.0,0.2,0.8,29
BBC,Mon Sep 03 10:37:21 +0000 2018,"RT @BBCOne: Every two minutes someone in Britain goes missing. Multiple cameras follow the hunt for missing people, from the police tasked…",-0.5267,0.0,0.18,0.82,30
BBC,Mon Sep 03 08:10:05 +0000 2018,"RT @BBCRadio2: 🏆 Endless hours of entertaining radio. Millions raised for @BBCCiN. The alarm clock for a record number of listeners. 🏆
Afte…",0.2023,0.178,0.102,0.72,31
BBC,Mon Sep 03 08:00:10 +0000 2018,🎨🖼️ Ken has never had an art lesson but painted a life-size replica of a Canaletto masterpiece. https://t.co/nPjvSKmbJs,0.7684,0.274,0.0,0.726,32
BBC,Mon Sep 03 07:24:03 +0000 2018,'That depictions of ‘madness’ have been dominated by horror films is revealing of the film industry’s historic inse… https://t.co/dz4lelqnOU,-0.5719,0.0,0.171,0.829,33
BBC,Mon Sep 03 07:17:57 +0000 2018,RT @bbcpress: Chris Evans to leave @BBCRadio2 Breakfast Show - https://t.co/gZddWwiGmr https://t.co/GoKj7gFJNF,-0.0516,0.0,0.107,0.893,34
BBC,Mon Sep 03 07:00:16 +0000 2018,"""I draw women because they suffer a lot.""

This is Sheillah, the 9 year-old Kenyan artist painting from the heart. https://t.co/gnfs35HYpX",-0.5423,0.0,0.163,0.837,35
BBC,Sun Sep 02 20:11:42 +0000 2018,"RT @BBCOne: Be careful who you trust. 
#Bodyguard https://t.co/6DhN42wMCI",0.5994,0.412,0.0,0.588,36
BBC,Sun Sep 02 19:47:44 +0000 2018,"RT @BBCRadio2: Get practising your @kylieminogue dance routines, there‘s now just one week to go till Radio 2 Live in Hyde Park! ✨

Whether…",0.0,0.0,0.0,1.0,37
BBC,Sun Sep 02 18:08:04 +0000 2018,"😊🐐 Scientists have found that goats are drawn to humans with happy facial expressions.
👉 https://t.co/TO6kTk8a9B https://t.co/vpiCvIJuXR",0.5719,0.198,0.0,0.802,38
BBC,Sun Sep 02 17:06:04 +0000 2018,"☕ Tea? Coffee? Plastic bag? 
This is the plastic bag you can drink. https://t.co/HDK9JLMQkV",0.0,0.0,0.0,1.0,39
BBC,Sun Sep 02 16:05:04 +0000 2018,A teenager who lost her hands and feet to meningitis as a baby is now heading to art college with hopes of becoming… https://t.co/6I5M8G4Hw8,0.128,0.112,0.092,0.797,40
BBC,Sun Sep 02 15:24:46 +0000 2018,"RT @BBCOne: One ticking clock.
One set of questions.
And one #Bodyguard star, @Misskeeleyhawes. https://t.co/w5atGYC4Gn",0.0,0.0,0.0,1.0,41
BBC,Sun Sep 02 15:12:01 +0000 2018,"Forget hygge, lagom and lykke – Jante Law rules in Scandinavia. 
 https://t.co/2nx7uw33Pw",-0.2263,0.0,0.16,0.84,42
BBC,Sun Sep 02 14:06:08 +0000 2018,"A groundbreaking technique looks set to turn man's best friend into an ivory trafficker's worst nightmare.
👉… https://t.co/64P7dLdIqx",0.5106,0.29,0.161,0.549,43
BBC,Sun Sep 02 14:03:02 +0000 2018,"An increasing number of South Korean women are choosing not to marry, not to have children, and not even to have re… https://t.co/kmpFHJM5Vd",0.0772,0.056,0.0,0.944,44
